ranking,last_name,population,ratio,cumpercentage
1,佐藤,1880000,0.02142103500060389,1.51286843476459
2,鈴木,1802000,0.0205322899314299,2.9629689238315002
3,高橋,1416000,0.016134141255773993,4.102448553420149
4,田中,1340000,0.015268184521707029,5.180769671816186
5,伊藤,1078000,0.012282912622686699,6.048254870048223
6,渡辺,1067000,0.01215757677959806,6.906888178502381
7,山本,1054000,0.012009452601402393,7.755060162673592
8,中村,1048000,0.011941087596081318,8.598403843329598
9,小林,1031000,0.011747386747671602,9.42806733069252
10,加藤,890000,0.01014080912262631,10.144265685448097
11,吉田,832000,0.009479947404522572,10.81379043955668
12,山田,816000,0.00929764072366637,11.470439717624716
13,佐々木,676000,0.00770245726617459,12.01442858033794
14,山口,645000,0.0073492380720156965,12.533471208222602
15,松本,629000,0.007166931391159493,13.03963836006671
16,井上,616000,0.007018807212963828,13.535344187627874
17,木村,578000,0.006585828845930345,14.000470759592732
18,林,547000,0.006232609651771451,14.440651096729026
19,斎藤,544000,0.006198427149110913,14.878417282107714
20,清水,533000,0.006073091306022274,15.307331577708528
21,山崎,484000,0.005514777095900151,15.696814727935157
22,森,467000,0.0053210762474904345,16.0726176848687
23,池田,451000,0.005138769566634231,16.435545165761695
24,橋本,449000,0.005115981231527206,16.79686321214962
25,阿部,445000,0.005070404561313155,17.15496238952741
26,石川,428000,0.004876703712903439,17.499381373612113
27,山下,420000,0.004785550372475337,17.837362619676544
28,中島,402000,0.004580455356512109,18.160858955195355
29,石井,397000,0.004523484518744545,18.480331704451494
30,小川,397000,0.004523484518744545,18.799804453707633
31,前田,382000,0.004352572005441854,19.10720644417576
32,岡田,380000,0.004329783670334829,19.412999000138814
33,長谷川,378000,0.004306995335227804,19.7171821215968
34,藤田,375000,0.004272812832567265,20.018951091297186
35,後藤,373000,0.00425002449746024,20.3191106264925
36,近藤,370000,0.0042158419947997015,20.616856009930213
37,村上,356000,0.004056323649050524,20.903335351832443
38,遠藤,334000,0.0038056519628732444,21.172110914178916
39,青木,330000,0.0037600752926591936,21.437667607515255
40,坂本,327000,0.0037258927899986556,21.70081014909399
41,斉藤,324000,0.0036917102873381172,21.96153853891512
42,福田,313000,0.0035663744442494777,22.213415038958374
43,太田,311000,0.003543586109142452,22.46368210449656
44,西村,309000,0.003520797774035427,22.712339735529675
45,藤井,309000,0.003520797774035427,22.96099736656279
46,岡本,297000,0.003384067763393274,23.199998390565497
47,藤原,297000,0.003384067763393274,23.438999414568197
48,金子,296000,0.0033726735958397617,23.677195721318366
49,三浦,296000,0.0033726735958397617,23.91539202806854
50,中野,295000,0.003361279428286249,24.152783617566172
51,中川,291000,0.003315702758072198,24.38695633805367
52,原田,291000,0.003315702758072198,24.621129058541168
53,松田,289000,0.0032929144229651725,24.853692344523598
54,竹内,287000,0.0032701260878581473,25.08464619600096
55,小野,281000,0.003201761082537071,25.310771743963112
56,田村,280000,0.003190366914983558,25.53609257467273
57,中山,270000,0.003076425239448431,25.753366232857005
58,和田,267000,0.003042242736787893,25.968225739283678
59,石田,266000,0.00303084856923438,26.18228052845782
60,森田,261000,0.0029738777314668166,26.39231173136929
61,上田,248000,0.0028257535532711514,26.59188160999781
62,原,246000,0.0028029652181641262,26.78984205412126
63,内田,245000,0.0027915710506106134,26.986997780992176
64,柴田,243000,0.002768782715503588,27.182544073358024
65,酒井,240000,0.00273460021284305,27.375676213966273
66,宮崎,238000,0.0027118118777360247,27.567198920069448
67,横山,237000,0.002700417710182512,27.757916908920087
68,高木,234000,0.0026662352075219734,27.94622074601313
69,安藤,231000,0.0026320527048614355,28.13211043134857
70,宮本,229000,0.0026092643697544103,28.316390682178934
71,大野,221000,0.0025181110293263083,28.49423319498903
72,小島,217000,0.0024725343591122575,28.66885683878898
73,谷口,216000,0.002461140191558745,28.842675765336402
74,工藤,215000,0.0024497460240052323,29.015689974631286
75,今井,213000,0.0024269576888982067,29.187094749421107
76,高田,210000,0.0023927751862376687,29.35608537245332
77,増田,209000,0.002381381018684156,29.524271278232998
78,丸山,209000,0.002381381018684156,29.69245718401268
79,杉山,207000,0.0023585926835771307,29.85903365528729
80,村田,206000,0.002347198516023618,30.024805409309373
81,大塚,205000,0.002335804348470105,30.189772446078916
82,小山,204000,0.0023244101809165923,30.353934765595923
83,新井,204000,0.0023244101809165923,30.518097085112935
84,平野,203000,0.0023130160133630795,30.681454687377407
85,藤本,203000,0.0023130160133630795,30.844812289641883
86,河野,201000,0.0022902276782560543,31.00656045740129
87,上野,200000,0.0022788335107025415,31.167503907908156
88,武田,200000,0.0022788335107025415,31.32844735841503
89,野口,199000,0.0022674393431490287,31.48858609166937
90,松井,194000,0.002210468505381465,31.644701238661032
91,千葉,194000,0.002210468505381465,31.8008163856527
92,菅原,193000,0.0021990743378279528,31.956126815391826
93,岩崎,192000,0.00218768017027444,32.11063252787842
94,久保,188000,0.002142103500060389,32.26191937135488
95,木下,188000,0.002142103500060389,32.41320621483134
96,佐野,186000,0.0021193151649533636,32.56288362380273
97,野村,186000,0.0021193151649533636,32.712561032774126
98,松尾,183000,0.0020851326622928256,32.85982428998791
99,菊地,182000,0.0020737384947393128,33.006282829949164
100,杉本,182000,0.0020737384947393128,33.152741369910416
101,市川,181000,0.0020623443271858,33.29839519261913
102,古川,177000,0.002016767656971749,33.440830146317715
103,大西,177000,0.002016767656971749,33.5832651000163
104,島田,176000,0.002005373489418237,33.72489533646234
105,水野,174000,0.001982585154311211,33.86491613840332
